Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
DGO,Durango Resources Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.durangoresourcesinc.com,https://logo.clearbit.com/durangoresourcesinc.com,VAN,DURANGO RESOURCES INC,Durango Resources Inc.,ca_market,,4602330,DGO.V,TSXV
DGTL,Dgtl Holdings Inc,Communication Services,Internet Content & Information,EQUITY,,https://www.dgtlinc.com,https://logo.clearbit.com/dgtlinc.com,VAN,DGTL HOLDINGS INC,DGTL Holdings Inc.,ca_market,,2746051,DGTL.V,TSXV
DHB,Delivra Health Brands Inc,,,EQUITY,,,,VAN,DELIVRA HEALTH BRANDS INC,,ca_market,,,DHB.V,TSXV
DHB.WT,Delivra Health Brands Inc Wts,,,,,,,,,,,,,DHB.WT.V,TSXV
DHR,Discovery Harbour Resources Corp,Basic Materials,Gold,EQUITY,,https://discoveryharbour.com,https://logo.clearbit.com/discoveryharbour.com,VAN,DISCOVERY HARBOUR RESOURCES COR,Discovery Harbour Resources Corp.,ca_market,,945092,DHR.V,TSXV
DIA,Margaret Lake Diamonds Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.margaretlakediamonds.com,https://logo.clearbit.com/margaretlakediamonds.com,VAN,MARGARET LAKE DIAMONDS INC,Margaret Lake Diamonds Inc.,ca_market,,920648,DIA.V,TSXV
DIG.H,District Mines Ltd,,,,,,,,,,,,,DIG.H.V,TSXV
DKL,Decklar Resources Inc,Energy,Oil & Gas E&P,EQUITY,,https://www.decklarresources.com,https://logo.clearbit.com/decklarresources.com,VAN,DECKLAR RESOURCES INC,Decklar Resources Inc.,ca_market,,27286738,DKL.V,TSXV
DLP,Dlp Resources Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.dlpresourcesinc.com,https://logo.clearbit.com/dlpresourcesinc.com,VAN,DLP RESOURCES INC,DLP Resources Inc.,ca_market,,19996624,DLP.V,TSXV
DLTA,Delta Resources Ltd,Basic Materials,Gold,EQUITY,,https://deltaresources.ca,https://logo.clearbit.com/deltaresources.ca,VAN,DELTA RESOURCES LIMITED,Delta Resources Limited,ca_market,,4095878,DLTA.V,TSXV
DM,Datametrex Ai Ltd,Technology,Information Technology Services,EQUITY,,https://www.datametrex.com,https://logo.clearbit.com/datametrex.com,VAN,DATAMETREX AI LIMITED,Datametrex AI Limited,ca_market,,28413280,DM.V,TSXV
DME,Desert Mountain Energy Corp,Energy,Oil & Gas E&P,EQUITY,,https://www.desertmountainenergy.com,https://logo.clearbit.com/desertmountainenergy.com,VAN,DESERT MOUNTAIN ENERGY CORP,Desert Mountain Energy Corp.,ca_market,,179867888,DME.V,TSXV
DMGI,Dmg Blockchain Solutions Inc,Financial Services,Capital Markets,EQUITY,,https://dmgblockchain.com,https://logo.clearbit.com/dmgblockchain.com,VAN,DMG BLOCKCHAIN SOLUTIONS INC,DMG Blockchain Solutions Inc.,ca_market,,42030372,DMGI.V,TSXV
DMI,Diamcor Mining Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.diamcormining.com,https://logo.clearbit.com/diamcormining.com,VAN,DIAMCOR MINING INC.,Diamcor Mining Inc.,ca_market,,16265791,DMI.V,TSXV
DMR,Damara Gold Corp,Basic Materials,Gold,EQUITY,,https://www.damaragoldcorp.com,https://logo.clearbit.com/damaragoldcorp.com,VAN,DAMARA GOLD CORP,Damara Gold Corp.,ca_market,,1790220,DMR.V,TSXV
DMT,Small Pharma Inc,Healthcare,Biotechnology,EQUITY,,https://www.smallpharma.com,https://logo.clearbit.com/smallpharma.com,VAN,SMALL PHARMA INC,Small Pharma Inc.,ca_market,,49259000,DMT.V,TSXV
DMX,District Metals Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.districtmetals.com,https://logo.clearbit.com/districtmetals.com,VAN,DISTRICT METALS CORP,District Metals Corp.,ca_market,,6928056,DMX.V,TSXV
DOC,Cloudmd Software & Services Inc,Healthcare,Health Information Services,EQUITY,,https://investors.cloudmd.ca,https://logo.clearbit.com/investors.cloudmd.ca,VAN,CLOUDMD SOFTWARE AND SERVICES I,CloudMD Software & Services Inc.,ca_market,,62496904,DOC.V,TSXV
DOS,Dios Exploration Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.diosexplo.com,https://logo.clearbit.com/diosexplo.com,VAN,DIOS EXPLORATION INC,Dios Exploration Inc.,ca_market,,5150565,DOS.V,TSXV
DSLV,Denarius Silver Corp,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.denariusmetals.com,https://logo.clearbit.com/denariusmetals.com,VAN,DENARIUS METALS CORP,Denarius Metals Corp.,ca_market,,25925000,DSLV.V,TSXV
DSLV.WT,Denarius Silver Corp WT,,,,,,,,,,,,,DSLV.WT.V,TSXV
DSM,Deep South Resources Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.deepsouthresources.com,https://logo.clearbit.com/deepsouthresources.com,VAN,DEEP SOUTH RESOURCES INC,Deep-South Resources Inc.,ca_market,,5121725,DSM.V,TSXV
DSV,Discovery Silver Corp,Basic Materials,Silver,EQUITY,,https://discoverysilver.com,https://logo.clearbit.com/discoverysilver.com,VAN,DISCOVERY SILVER CORP,Discovery Silver Corp.,ca_market,,286137280,DSV.V,TSXV
DSY,Destiny Media Technologies Inc,Technology,Software—Application,EQUITY,,https://www.dsny.com,https://logo.clearbit.com/dsny.com,VAN,DESTINY MEDIA TECHNOLOGIES INC.,Destiny Media Technologies Inc.,ca_market,,8875920,DSY.V,TSXV
DTG,Dynamic Technologies Group Inc,Industrials,Metal Fabrication,EQUITY,,https://www.dynamictechgroup.com,https://logo.clearbit.com/dynamictechgroup.com,VAN,DYNAMIC TECHNOLOGIES GROUP INC,Dynamic Technologies Group Inc.,ca_market,,39244076,DTG.V,TSXV
DV,Dolly Varden Silver Corp,Basic Materials,Silver,EQUITY,,https://www.dollyvardensilver.com,https://logo.clearbit.com/dollyvardensilver.com,VAN,DOLLY VARDEN SILVER CORP,Dolly Varden Silver Corporation,ca_market,,47764996,DV.V,TSXV
DVG,Divergent Energy Services Corp,Energy,Oil & Gas Equipment & Services,EQUITY,,https://www.divergentenergyservices.com,https://logo.clearbit.com/divergentenergyservices.com,VAN,DIVERGENT ENERGY SERVICES CORP,Divergent Energy Services Corp.,ca_market,,2475367,DVG.V,TSXV
DVX.P,Drummond Ventures Corp,,,EQUITY,,,,VAN,Drummond Ventures Corp,Drummond Ventures Corp,ca_market,,,DVX.P.V,TSXV
DWS,Diamond Estates Wines and Spirits Inc,Consumer Defensive,Beverages—Wineries & Distilleries,EQUITY,,https://www.lakeviewwineco.com/site/investors-diamond-estates-overview,https://logo.clearbit.com/lakeviewwineco.com,VAN,DIAMOND ESTATES WINES AND SPIRI,Diamond Estates Wines & Spirits Inc.,ca_market,,21464520,DWS.V,TSXV
DXI.H,Dxi Energy Inc,,,,,,,,,,,,,DXI.H.V,TSXV
DYG,Dynasty Gold Corp,Basic Materials,Gold,EQUITY,,https://www.dynastygoldcorp.com,https://logo.clearbit.com/dynastygoldcorp.com,VAN,DYNASTY GOLD CORP.,Dynasty Gold Corp.,ca_market,,3208698,DYG.V,TSXV
EAC,Earth Alive Clean Technologies Inc,Basic Materials,Agricultural Inputs,EQUITY,,https://www.earthalivect.com,https://logo.clearbit.com/earthalivect.com,VAN,EARTH ALIVE CLEAN TECHNOLOGIES ,Earth Alive Clean Technologies Inc.,ca_market,,7235669,EAC.V,TSXV
EAM,East Africa Metals Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.eastafricametals.com,https://logo.clearbit.com/eastafricametals.com,VAN,EAST AFRICA METALS INC,East Africa Metals Inc.,ca_market,,26426400,EAM.V,TSXV
EAST,Eastwest Bioscience Inc,Healthcare,Drug Manufacturers—Specialty & Generic,EQUITY,,https://www.eastwestbioscience.com,https://logo.clearbit.com/eastwestbioscience.com,VAN,EASTWEST BIOSCIENCE INC,EastWest Bioscience Inc.,ca_market,,3019920,EAST.V,TSXV
EAU,Engineer Gold Mines Ltd,Basic Materials,Gold,EQUITY,,https://www.engineergoldmines.com,https://logo.clearbit.com/engineergoldmines.com,VAN,ENGINEER GOLD MINES LTD,Engineer Gold Mines Ltd.,ca_market,,2880786,EAU.V,TSXV
EBM,Eastwood Bio Medical Canada Inc,Consumer Defensive,Food Distribution,EQUITY,,https://www.eleotin.ca,https://logo.clearbit.com/eleotin.ca,VAN,EASTWOOD BIO MEDICAL CANADA INC,Eastwood Bio-Medical Canada Inc.,ca_market,,82663200,EBM.V,TSXV
ECAP.P,Endurance Capital Corp,,,,,,,,,,,,,ECAP.P.V,TSXV
ECCF.P,Ecc Ventures 4 Corp,,,EQUITY,,,,VAN,ECC Ventures 4 Corp,ECC Ventures 4 Corp,ca_market,,,ECCF.P.V,TSXV
ECCS.P,Ecc Ventures 6 Corp,,,,,,,,,,,,,ECCS.P.V,TSXV
ECM,Ecolomondo Corp,Industrials,Waste Management,EQUITY,,https://www.ecolomondo.com,https://logo.clearbit.com/ecolomondo.com,VAN,ECOLOMONDO CORPORATION,Ecolomondo Corporation,ca_market,,102767840,ECM.V,TSXV
ECOM,Emerge Commerce Ltd,Consumer Cyclical,Internet Retail,EQUITY,,https://www.emerge-commerce.com,https://logo.clearbit.com/emerge-commerce.com,VAN,EMERGE COMMERCE LTD,Emerge Commerce Ltd.,ca_market,,16994506,ECOM.V,TSXV
